brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Chevrolet,Silverado 1500 Custom Trail Boss,2021,"51,351 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,"$43,147"
Nissan,Titan XD SV,2020,"10,001 mi.",Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,Black,None reported,Yes,"$47,214"
Ford,Explorer XLT,2020,"61,001 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Gray,Ebony,At least 1 accident or damage reported,Yes,"$28,616"
Ford,Bronco Sport Outer Banks,2021,"15,198 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Blue,Navy Pier,None reported,Yes,"$31,621"
Acura,RDX Technology Package,2020,"31,015 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Silver,Ebony,None reported,Yes,"$36,570"
Toyota,Tundra Limited,2020,"44,101 mi.",Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,Gray,Black,None reported,Yes,"$45,423"
Acura,TLX A-Spec,2021,"16,878 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Red,Ebony,None reported,Yes,"$38,781"
Ford,Expedition Max King Ranch,2021,"37,594 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Mesa,None reported,Yes,"$62,595"
Ford,Bronco Sport Big Bend,2021,"31,729 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Maroon,Medium Dark Slate,At least 1 accident or damage reported,Yes,"$29,614"
Chevrolet,Camaro 1LT,2021,"10,300 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,"$29,900"
Ford,F-150 XLT,2020,"67,516 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,Yes,"$36,994"
Dodge,Caliber Express,2010,"102,681 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,None reported,Yes,"$6,000"
Ford,Expedition Limited,2021,"23,842 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,None reported,Yes,"$59,203"
Volvo,S60 T6 Momentum,2020,"46,250 mi.",Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,"$27,800"
Mercedes-Benz,C-Class C 300 4MATIC,2018,"41,515 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,Black,None reported,Yes,"$28,251"
Toyota,Sequoia SR5,2023,"1,539 mi.",Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,Boulder,At least 1 accident or damage reported,Yes,"$76,373"
Mazda,Mazda3 i Touring,2014,"118,500 mi.",Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,Yes,"$11,500"
Ford,Shelby GT350R Base,2018,"18,500 mi.",Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,Blue,Black,At least 1 accident or damage reported,Yes,"$77,999"
BMW,M3 Base,2015,"74,000 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Gray,Black,None reported,Yes,"$40,000"
Ford,Expedition Max XLT,2021,"84,351 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Ebony,None reported,Yes,"$42,691"
Chevrolet,Colorado Z71,2020,"20,909 mi.",Gasoline,3.6L V6 24V GDI DOHC,Automatic,Red,Jet Black,None reported,Yes,"$35,387"
Subaru,WRX Premium,2017,"62,662 mi.",Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,"$24,000"
Subaru,WRX Base,2015,"102,000 mi.",Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,"$18,000"
Mercedes-Benz,E-Class E 400 4MATIC,2018,"22,558 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,Yes,"$47,645"
Ford,F-150 XLT,2021,"51,808 mi.",Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Silver,Black,None reported,Yes,"$42,388"
Mercedes-Benz,E-Class E 400 4MATIC,2018,"45,203 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,White,Saddle Brown,None reported,Yes,"$39,853"
Ford,Expedition Platinum,2019,"51,300 mi.",Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,White,Platinum,None reported,Yes,"$48,295"
Ford,Expedition XLT,2022,"22,169 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Sandstone,None reported,Yes,"$57,352"
Ford,Expedition Platinum,2021,"51,902 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Red,Ceramic,None reported,Yes,"$57,480"
Dodge,Dart SE,2016,"76,857 mi.",Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Black,At least 1 accident or damage reported,Yes,"$8,100"
Toyota,Highlander XLE,2019,"81,301 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,Black,None reported,Yes,"$30,275"
Ford,Explorer XLT,2021,"33,705 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Light Slate,At least 1 accident or damage reported,Yes,"$36,995"
Ford,Bronco Sport Big Bend,2021,"30,176 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Black,Medium Dark Slate,None reported,Yes,"$28,979"
Nissan,Titan SL,2021,"95,993 mi.",Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,White,Black,None reported,Yes,"$32,612"
Subaru,WRX STI Base,2016,"84,100 mi.",Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Gray,Black,None reported,Yes,"$34,000"
Ford,F-150 XLT,2019,"81,778 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Black,Medium Earth Gray,None reported,Yes,"$32,769"
Toyota,Highlander Limited,2020,"53,550 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,Gray,None reported,Yes,"$39,687"
Ford,Edge SEL,2021,"56,946 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Silver,Ebony,None reported,Yes,"$26,299"
Ford,F-150 XLT,2021,"25,352 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,Yes,"$48,459"
Ford,Explorer Platinum,2018,"73,049 mi.",Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Gray,Ebony Black,At least 1 accident or damage reported,Yes,"$30,510"
Chevrolet,Colorado LT,2019,"139,116 mi.",Gasoline,3.6L V6 24V GDI DOHC,Automatic,Red,Jet Black,At least 1 accident or damage reported,Yes,"$24,899"
Ford,F-150 Platinum,2021,"15,555 mi.",Gasoline,5.0L 8 Cylinder,10-Speed Automatic,Blue,Black,None reported,Yes,"$62,890"
Chevrolet,Tahoe LT,2021,"71,536 mi.",Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Black,Jet Black,None reported,Yes,"$49,685"
Ford,Explorer XLT,2014,"127,558 mi.",Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Green,Charcoal Black,None reported,Yes,"$13,715"
Subaru,Impreza WRX,2012,"106,000 mi.",Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,"$15,000"
Ford,Edge SEL,2021,"17,836 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Silver,Ebony,None reported,Yes,"$31,933"
Toyota,Tacoma SR5,2018,"25,083 mi.",Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Red,Gray,At least 1 accident or damage reported,Yes,"$34,955"
Volkswagen,CC Sport,2012,"131,986 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,"$9,000"
Ford,F-150 XL,2019,"59,678 mi.",Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Black,None reported,Yes,"$33,700"
